species,DateOfObs,method,observer,AliveorDea,DOR,air_temp_f,sub_temp_f,body_temp_,pit,pit_id,weight_g,length_cm,sex,age,recapture,num_subcau,num_rattle,SFD,DNA,notes,,
Gopher Snake,10/15/2019 20:36,driving,cf,alive,no,64,76,83,yes,3DD.003D4501D0,318,94,female,adult,no,,,,,,,
Gopher Snake,6/12/2019 15:09,driving,cf,alive ,no ,70,71,83,yes,3D6.00184A5F98,347,105,male,adult ,no,,,,,white bucket,,
Gopher Snake,6/21/2022,driving,TS,alive,no,69,83,82,no, , , ,unknown,juv,no,0,0,no,no,"Found on road facing west, disappeared into rodent hole before it could be captured.",,
Gopher Snake,5/14/2020,driving,cf,alive,no,62,75,82,yes,3D6.1D59ABD1BE,247,88,male,adult,no,,,no,no, ,,
Gopher Snake,5/6/2020,driving,cf,alive,no,77,96,81,yes,3DD.003D4501BE,461,110,male,adult,no,,,no,no, ,,
Gopher Snake,5/20/2021,driving,BP,alive,no,70,95,81,yes,3D9.1A4FA10642,245,82.5,unknown,adult,no,0,0,yes,no,captured on road,,
Gopher Snake,5/17/2022,driving,TS,alive,no,79,80,81,no, , , ,unknown,adult,no,0,0,no,no,"Stretched out on road, facing West, was extremely aggressive on attempted collection and displayed mock viper behaviors aggressively crossed to the west side of the road and into a large mammal hole in the ground.",,
Gopher Snake,5/23/2022,driving,cf,alive,no,53,79,81,yes,3D9.1A4FA106E1,317,81,male,adult,no,0,0,no,no,laceration on face and upper body.,,
Gopher Snake,5/20/2020,incidental,NS,alive,no,66,77,81,yes,3D6.1D59ABD215,289,96,male,adult,no,,,no,no,Snake was found on the road.,,
Gopher Snake,10/3/2019 20:33,driving,cf,alive,no,68,76,81,yes,3D6.1D59804848,160,79,male,adult,no,,,,,,,
Gopher Snake,9/23/2019 17:31,driving,cf,alive,no,67,75,81,yes,3D6.1D596E572F,12,31,too small,juv,no,,,,,back bucket,,
Gopher Snake,6/2/2021,driving,cf,alive,no,66,75,81,yes,3D9.1A4FA106B9,278,95.9,male,adult,no,0,0,no,no, ,,
