species,DateOfObs,method,observer,AliveorDea,DOR,air_temp_f,sub_temp_f,body_temp_,pit,pit_id,weight_g,length_cm,sex,age,recapture,num_subcau,num_rattle,SFD,DNA
Gopher Snake,5/18/2023 15:49,driving,TS,alive,no,68,70,71,yes,1A4FA1064D,315,105,female,adult,no,0,0,no,no
Gopher Snake,5/20/2020,driving,cf,alive,no,58,70,71,yes,3DD.003D4501F4,383,98,female,adult,no,,,no,no
Gopher Snake,6/2/2021,driving,cf,alive,no,66,69,71,yes,3D9.1A4FA106EB,206,81,male,adult,no,0,0,no,no
Gopher Snake,6/6/2019 17:15,incidental,JS,Alive,,82,90,70,,,,,,,,,,,
Gopher Snake,10/19/2020,incidental,cf,alive,no,72,68,68,no, ,0,0,unknown,neonate,no,,,no,no
Gopher Snake,9/26/2022,driving,cf,alive,no,75,67,68,yes,3D6.1533E8C18B,14,28,unknown,neonate,no,0,0,no,no
Gopher Snake,9/23/2021,driving,cf,alive,no,58,66,67,yes,3D6.1533E8C184,30,31.9,male,neonate,no,0,0,no,no
Gopher Snake,9/22/2021,driving,cf,alive,no,61,61,63,yes,3D9.1A4FA106CD,208,86.3,female,adult,no,0,0,no,no
Gopher Snake,5/27/2022,incidental,TS,alive,no,69,61,62,no, , , ,unknown,juv,no,0,0,no,no
Gopher Snake,5/25/2022,incidental,Gr inne,alive,no,0,101,0,yes,3D9.1A4FA10661,338,88.5,male,unknown,no,0,0,no,no
Gopher Snake,9/21/2021,driving,BP,dead,yes,66,97,0,no, ,18,34.6,unknown,juv,no,0,0,yes,no
Gopher Snake,7/14/2023 15:13,driving,TS,alive,no,84,92,0,yes,3D6.1533E8C0BA,13,43.4,male,YOY,no,0,0,no,no
Gopher Snake,7/17/2023 16:15,driving,TS,alive,no,85,89,0,yes,3D6.1533E8C0DC,177,106,female,adult,no,0,0,no,no
Gopher Snake,6/1/2022,driving,TS,alive,no,76,89,0,yes,3D9.1A4FA105FD,318,89.5,female,adult,no,0,0,no,no
Gopher Snake,5/17/2022,driving,Ts,alive,no,74,85,0,yes,3D9.1A4FA106EF,317,91.5,male,adult,no,0,0,no,no
Gopher Snake,5/12/2023 20:00,driving,TS,alive,no,70,85,0,yes,3D6.1D59804848,277,110,unknown,adult,yes,0,0,no,no
Gopher Snake,5/17/2022,driving,TS,dead,yes,76,82,0,no, , , ,unknown,juv,no,0,0,no,no
Gopher Snake,6/20/2023 18:20,driving,TS,alive,no,66,82,0,yes,3D6.1533E8C0D2,385,105.8,male,adult,no,0,0,no,no
Gopher Snake,5/24/2022,driving,Grainne,alive,no,0,80,0,yes,3D9.1A4FA106DB,260,86.5,male,adult,no,0,0,no,no
Gopher Snake,5/17/2022,driving,TS,alive,no,74,77,0,yes,3D9.1A4FA106DE,206,81,male,adult,no,0,0,no,no
Gopher Snake,5/19/2022,driving,TS,alive,no,74,72,0,yes,3D9.1A4FA10628,367,95.5,male,adult,no,0,0,no,no
Gopher Snake,9/14/2021,driving,BP,dead,yes,66,64,0,no, , , ,unknown,juv,no,0,0,no,no
Gopher Snake,5/6/2020,pit fall trap,cf,alive,no,77,48,0,no, ,11,29,unknown,juv,no,,,no,no
Gopher Snake,5/12/2023 14:40,active search,Flipped under large rock. Very cold. Picked up before accurate body temp could be measured,alive,no,66,43,0,no,,,,unknown,YOY,no,0,0,no,no
Gopher Snake,8/25/2020,incidental,Jl,alive,no,93,0,0,no,3D6.1D59A008F1,245,92,female,adult,no,,,no,no
Gopher Snake,7/6/2020,incidental,JL,alive,no,83,0,0,yes,3d6.1533c700e4,220,0,female,adult,yes,,,no,no
Gopher Snake,6/8/2022,driving,TS,dead,yes,83,0,0,no, ,178,68.5,unknown,adult,no,0,0,no,no
Gopher Snake,8/9/2023 18:16,reported,TS,alive,no,83,0,0,yes,3D6.1533E8C09E,114,92.1,male,adult,no,0,0,no,no
Gopher Snake,6/4/2020,incidental,NS,dead,yes,82,0,0,no, ,0,0,unknown,adult,no,,,no,no
Gopher Snake,6/4/2020,incidental,NS,dead,yes,81,0,0,no, ,0,0,unknown,adult,no,,,no,no
Gopher Snake,10/4/2021,driving,cf,dead,yes,81,0,0,no, , , ,unknown,adult,no,0,0,no,no
Gopher Snake,7/18/2023 15:46,driving,Liz Bergin,alive,no,81,0,0,yes,3D6.1533E8C0CD,188,94.9,female,adult,no,0,0,no,no
Gopher Snake,5/18/2020,incidental,NGS,dead,yes,80,0,0,no, ,0,0,unknown,adult,no,,,no,no
Gopher Snake,10/5/2022,driving,cf,alive,no,80,0,0,yes,3D6.1533E8C0D4,27,33.5,male,neonate,no,0,0,no,no
Gopher Snake,9/20/2023 17:00,incidental,em,alive,no,80,0,0,yes,3D6.1533E8C0A5,15,40.8,female,neonate,no,0,0,no,no
Gopher Snake,5/28/2020,incidental,NS,dead,yes,78,0,0,no, ,0,0,unknown,juv,no,,,no,no
Gopher Snake,6/6/2023 20:57,incidental,TS,alive,no,78,0,0,yes,3D6.1533E8C0E5,307,104.6,male,adult,no,0,0,no,no
Gopher Snake,10/7/2020,driving,cf,alive,no,77,0,0,no, ,0,0,unknown,neonate,no,,,no,no
Gopher Snake,6/10/2022,incidental,TS,alive,no,77,0,0,no, , , ,unknown,adult,no,0,0,no,no
Gopher Snake,5/28/2020,incidental,NGS,alive,no,76,0,0,no, ,0,0,unknown,juv,no,,,no,no
Gopher Snake,6/1/2022,driving,TS,alive,no,76,0,0,no, , , ,unknown,adult,no,0,0,no,no
Gopher Snake,5/6/2020,incidental,NGS,alive,no,75,0,0,yes,3D6.1D59ABD1C7,531,110,female,adult,no,,,no,no
Gopher Snake,5/27/2021,reported,BP,alive,no,75,0,0,yes,3D9.1A4FA10623,301,104.3,male,adult,no,0,0,yes,no
